Outflow,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,NorthCarolina,NorthDakota,Nebraska,NewHampshire,NewJersey,NewMexico,Nevada,NewYork,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,WestVirginia,Wyoming
Hawaii,1.63,1.45,0.47,2.94,19.00,2.85,1.13,0.14,5.05,3.55,0.00,0.43,0.71,2.02,0.71,1.15,0.99,0.96,0.90,2.19,0.32,1.22,0.71,1.73,0.46,0.48,3.97,0.16,0.34,0.22,1.08,0.63,3.11,2.95,1.47,1.35,2.53,1.26,0.43,1.74,0.11,1.31,8.38,1.43,5.35,0.11,7.75,0.72,0.20,0.24
Iowa,0.28,0.60,0.94,2.98,5.67,2.97,0.43,0.16,3.03,1.62,0.44,0.00,0.52,16.00,2.16,2.66,0.85,0.45,0.47,0.59,0.16,2.36,7.48,5.95,0.45,0.32,1.73,0.48,10.19,0.20,0.75,0.53,0.87,1.35,1.67,1.13,0.75,1.31,0.06,0.71,2.78,1.36,5.47,0.90,1.45,0.10,1.52,4.58,0.11,0.47
Idaho,1.69,0.38,0.40,5.10,15.75,3.21,0.24,0.06,1.82,1.13,0.67,0.59,0.00,1.16,0.54,0.72,0.44,0.46,0.28,0.47,0.13,0.75,0.90,0.93,0.31,3.57,1.21,0.51,0.54,0.19,0.32,0.87,4.83,1.10,0.80,0.82,8.91,0.77,0.01,0.40,0.41,0.73,4.03,10.60,1.36,0.07,16.77,0.61,0.08,2.34
Illinois,0.29,0.94,0.99,3.08,7.27,1.95,0.79,0.19,6.25,3.12,0.47,4.30,0.26,0.00,9.01,1.14,1.81,0.74,1.37,1.11,0.16,5.41,2.52,6.65,0.90,0.15,2.26,0.21,0.69,0.20,1.62,0.44,1.22,3.31,3.84,0.87,0.61,2.04,0.16,0.83,0.25,2.31,6.11,0.63,2.50,0.11,1.67,6.84,0.19,0.19
Indiana,0.24,1.17,0.67,2.01,4.45,1.43,0.45,0.17,7.10,2.75,0.33,0.96,0.26,18.50,0.00,0.82,8.92,0.81,0.70,0.87,0.13,7.51,1.05,2.27,0.69,0.17,2.27,0.14,0.37,0.14,0.89,0.42,0.81,2.24,9.05,0.83,0.56,1.86,0.10,1.21,0.18,3.30,4.90,0.56,1.87,0.09,1.22,1.98,0.45,0.19
Kansas,0.63,1.11,1.66,2.69,5.52,4.85,0.24,0.18,3.44,2.60,0.75,1.86,0.43,2.89,1.31,0.00,1.08,0.89,0.45,0.78,0.14,1.54,1.38,22.59,0.51,0.31,2.27,0.39,3.19,0.14,0.68,0.99,0.84,2.00,1.54,6.38,0.70,1.23,0.04,0.98,0.54,1.43,10.15,0.71,2.33,0.07,2.00,0.99,0.15,0.47
Kentucky,0.51,2.00,0.73,1.27,3.38,1.17,0.31,0.12,6.69,4.39,0.56,0.56,0.23,4.59,11.15,1.06,0.00,1.02,0.52,1.06,0.14,3.04,0.57,2.78,0.76,0.14,3.28,0.11,0.28,0.17,0.70,0.34,0.62,2.11,13.34,0.98,0.42,1.83,0.09,1.74,0.11,10.81,5.56,0.46,4.25,0.05,1.17,0.88,1.80,0.16
Louisiana,0.57,3.38,3.36,1.35,5.17,1.83,0.37,0.16,7.25,6.00,0.64,0.47,0.18,1.93,1.13,0.96,1.08,0.00,0.72,1.02,0.14,1.36,0.54,1.98,8.69,0.23,3.73,0.20,0.36,0.12,0.88,0.52,0.79,2.48,1.67,1.80,0.47,1.26,0.14,1.34,0.12,2.94,25.18,0.44,2.56,0.08,1.37,0.61,0.23,0.27
Massachusetts,0.16,0.46,0.24,1.44,7.50,1.45,6.99,0.30,9.99,2.39,0.45,0.33,0.16,2.49,0.71,0.36,0.46,0.43,0.00,2.04,2.63,1.35,0.90,0.89,0.23,0.16,3.04,0.08,0.20,8.62,4.29,0.40,0.55,12.21,1.88,0.28,0.61,4.13,6.76,1.02,0.07,0.88,3.27,0.45,2.88,1.57,1.31,0.73,0.19,0.10
Maryland,0.34,0.78,0.30,1.29,5.87,1.38,1.13,3.19,7.23,3.93,1.08,0.37,0.17,1.98,0.90,0.53,0.66,0.68,1.93,0.00,0.33,1.65,0.68,0.78,0.42,0.12,5.01,0.09,0.28,0.32,5.43,0.43,0.68,6.72,2.29,0.50,0.44,9.65,0.37,1.63,0.11,1.43,4.84,0.51,17.02,0.17,1.47,0.59,2.27,0.08
Maine,0.80,0.74,0.32,1.77,4.53,1.78,5.00,0.18,9.65,1.92,0.69,0.52,0.32,1.34,0.59,0.41,0.78,0.61,13.51,1.92,0.00,1.20,0.67,0.74,0.35,0.31,3.07,0.24,0.29,12.70,2.32,0.63,0.57,6.38,1.57,0.64,0.78,3.64,1.83,1.44,0.12,1.07,3.54,0.52,3.19,2.31,1.36,0.73,0.24,0.21
Michigan,0.50,1.63,0.77,3.20,6.18,1.98,0.63,0.18,9.78,3.78,0.58,1.10,0.32,7.47,6.68,0.96,2.11,0.92,1.05,1.17,0.22,0.00,1.43,1.91,0.80,0.29,3.47,0.27,0.39,0.25,1.12,0.48,1.49,3.48,8.75,0.80,0.70,2.20,0.14,1.54,0.24,3.74,6.03,0.60,2.68,0.17,1.58,3.38,0.38,0.50
Minnesota,0.61,0.50,0.67,3.49,6.94,2.86,0.50,0.16,3.96,2.02,0.40,5.81,0.56,6.48,1.73,1.15,0.64,0.45,1.07,0.79,0.22,2.78,0.00,2.21,0.39,0.79,1.76,7.33,1.81,0.23,1.06,0.49,1.14,2.28,2.07,0.82,1.20,1.58,0.15,0.65,3.59,1.23,5.38,0.88,1.79,0.15,2.19,14.50,0.15,0.42
Missouri,0.64,1.07,4.61,2.23,5.73,2.42,0.35,0.14,4.39,2.52,0.73,2.93,0.46,12.20,2.06,14.73,1.62,1.23,0.53,0.78,0.15,2.01,1.31,0.00,0.97,0.27,2.16,0.25,1.71,0.13,0.69,0.58,1.02,1.86,1.96,3.21,0.75,1.34,0.09,0.82,0.46,2.45,7.53,0.92,2.08,0.07,1.66,1.65,0.20,0.36
Mississippi,0.41,9.38,3.24,1.03,3.45,1.21,0.23,0.12,7.47,6.02,0.35,0.59,0.19,3.16,1.31,0.64,1.32,11.39,0.27,0.74,0.13,1.72,0.50,1.97,0.00,0.17,2.48,0.14,0.46,0.12,0.70,0.43,0.66,1.38,1.57,1.13,0.30,1.02,0.09,1.44,0.13,16.97,8.70,0.42,2.42,0.00,0.98,1.09,0.21,0.17
Montana,2.06,0.73,0.54,4.28,10.04,5.56,0.34,0.09,2.96,1.37,0.71,0.85,6.02,1.47,0.75,0.82,0.57,0.45,0.48,0.60,0.26,1.80,2.66,1.49,0.48,0.00,1.29,3.09,0.86,0.31,0.47,1.16,3.04,1.44,1.26,1.19,4.76,1.50,0.09,0.42,1.69,1.13,4.70,3.77,1.57,0.29,11.18,1.68,0.25,5.48
NorthCarolina,0.50,1.58,0.55,1.43,5.33,1.36,1.29,0.40,10.02,6.69,0.73,0.53,0.26,2.22,1.47,0.86,1.29,0.96,1.65,3.02,0.42,2.45,0.69,1.21,0.70,0.16,0.00,0.08,0.29,0.48,3.41,0.38,0.53,7.22,3.69,0.78,0.49,4.01,0.38,8.45,0.11,2.76,5.10,0.44,10.22,0.23,1.32,0.84,0.95,0.13
NorthDakota,1.30,0.56,0.53,2.55,4.21,4.20,0.23,0.06,2.76,1.09,0.49,1.42,2.59,1.46,0.83,0.89,0.36,0.85,0.28,0.45,0.14,1.99,26.90,1.27,0.54,6.34,1.17,0.00,1.14,0.11,0.38,0.87,1.40,1.08,1.10,1.33,1.20,0.86,0.00,0.46,5.49,0.71,5.23,2.07,0.94,0.00,2.85,2.68,0.19,4.44
Nebraska,0.47,0.84,1.05,3.34,6.30,7.53,0.28,0.14,4.04,1.76,0.53,14.84,0.73,3.45,1.17,6.29,0.68,0.67,0.46,0.61,0.16,1.38,2.70,5.11,0.62,0.74,1.47,0.95,0.00,0.14,0.66,0.81,1.68,1.28,1.61,1.63,0.96,1.08,0.15,0.59,3.86,1.07,7.37,1.38,1.84,0.08,2.12,1.20,0.11,2.07
NewHampshire,0.25,0.33,0.12,1.25,3.43,1.26,3.41,0.29,7.19,1.54,0.33,0.26,0.20,1.05,0.71,0.31,0.34,0.38,32.33,1.24,8.19,1.00,0.48,0.60,0.13,0.28,2.55,0.09,0.18,0.00,2.06,0.26,0.52,5.94,1.27,0.33,0.48,2.54,1.38,1.22,0.12,0.77,2.52,0.57,2.26,6.27,0.89,0.50,0.20,0.20
NewJersey,0.16,0.42,0.24,1.00,4.88,0.70,2.17,1.33,8.88,2.71,0.31,0.25,0.11,2.03,0.66,0.31,0.36,0.37,2.65,2.45,0.27,1.09,0.47,0.58,0.17,0.09,3.12,0.05,0.13,0.33,0.00,0.18,0.60,33.71,1.49,0.27,0.29,14.65,0.49,1.10,0.06,0.76,3.09,0.25,3.09,0.19,0.76,0.48,0.20,0.06
NewMexico,1.06,0.71,0.86,17.01,9.34,7.65,0.39,0.09,3.46,1.52,0.56,0.59,0.90,1.76,0.88,1.31,0.50,0.69,0.69,0.92,0.20,1.24,0.78,1.33,0.49,0.68,1.45,0.29,0.62,0.27,0.56,0.00,2.99,1.66,1.48,2.07,1.19,1.15,0.11,0.70,0.42,0.95,20.13,2.12,2.11,0.18,2.28,0.79,0.19,0.69
Nevada,0.85,0.49,0.50,7.55,33.25,2.95,0.36,0.10,4.23,1.40,2.03,0.55,1.86,2.71,0.93,0.67,0.41,0.64,0.67,0.74,0.11,1.53,0.87,1.11,0.53,0.65,1.22,0.24,0.64,0.15,1.15,1.42,0.00,2.36,1.54,0.95,2.40,1.23,0.14,0.55,0.32,0.87,5.28,4.80,1.57,0.08,3.84,0.88,0.14,0.58
NewYork,0.26,0.75,0.32,1.53,7.39,1.29,4.90,0.48,12.65,3.95,0.54,0.33,0.15,2.63,0.88,0.56,0.66,0.66,4.70,2.60,0.48,1.74,0.77,0.88,0.31,0.13,4.42,0.07,0.22,0.62,14.51,0.34,0.75,0.00,2.38,0.51,0.61,8.38,0.72,1.83,0.09,1.10,4.43,0.48,3.92,0.82,1.32,0.66,0.24,0.08
Ohio,0.32,1.32,0.63,2.26,4.81,1.57,0.73,0.26,9.06,3.77,0.44,0.69,0.32,4.40,6.31,0.85,7.17,0.84,1.19,1.61,0.24,7.11,0.98,1.49,0.67,0.17,4.16,0.17,0.37,0.26,1.68,0.49,1.06,4.00,0.00,0.79,0.48,6.07,0.17,2.02,0.19,3.02,5.20,0.68,3.36,0.13,1.26,1.28,3.71,0.20
Oklahoma,0.85,1.11,7.09,3.02,7.08,3.59,0.30,0.14,4.22,2.67,0.84,0.82,0.47,2.01,1.15,6.98,0.91,1.74,0.39,0.69,0.10,1.36,0.82,4.86,0.91,0.35,2.28,0.37,0.89,0.14,0.59,1.67,1.29,1.63,1.74,0.00,0.77,1.12,0.10,0.84,0.31,1.68,23.80,0.83,1.84,0.05,2.01,0.82,0.28,0.49
Oregon,1.58,0.32,0.42,5.20,24.61,2.73,0.33,0.09,2.37,1.18,1.62,0.64,4.48,1.73,0.78,0.75,0.46,0.44,0.79,0.64,0.26,1.28,1.13,1.13,0.20,1.75,1.14,0.20,0.48,0.18,0.57,0.93,3.35,1.83,1.26,0.83,0.00,1.10,0.10,0.40,0.33,0.79,3.77,2.39,1.25,0.20,20.27,1.02,0.12,0.63
Pennsylvania,0.21,0.58,0.37,1.49,4.06,1.42,1.57,2.98,7.65,2.51,0.34,0.38,0.22,1.99,1.22,0.53,0.85,0.55,2.09,6.87,0.37,1.85,0.63,0.80,0.37,0.19,3.99,0.11,0.26,0.47,14.43,0.36,0.83,15.05,4.90,0.70,0.43,0.00,0.40,1.65,0.13,1.23,4.02,0.50,4.71,0.22,0.97,0.69,1.64,0.22
RhodeIsland,0.25,0.20,0.25,1.20,5.47,0.96,8.59,0.27,9.17,2.24,0.92,0.19,0.11,1.26,0.58,0.29,0.27,0.46,29.14,1.58,1.56,0.83,0.47,0.37,0.28,0.08,2.87,0.06,0.17,1.67,3.08,0.16,0.55,8.68,1.33,0.38,0.43,2.61,0.00,1.03,0.05,0.75,2.50,0.31,3.87,0.82,1.16,0.34,0.13,0.09
SouthCarolina,0.38,1.72,0.43,1.09,3.14,1.07,1.38,0.38,8.87,11.80,0.59,0.41,0.22,1.89,1.32,0.66,1.37,0.87,1.27,2.50,0.33,2.31,0.45,0.93,0.65,0.16,17.94,0.09,0.28,0.48,2.95,0.35,0.54,5.90,3.76,0.64,0.34,3.84,0.32,0.00,0.13,2.76,3.89,0.43,5.56,0.24,1.71,0.70,0.86,0.12
SouthDakota,0.87,0.55,0.57,3.20,5.28,4.57,0.30,0.11,4.62,1.29,0.42,8.70,1.16,2.08,1.20,1.59,0.62,0.47,0.45,0.52,0.16,1.65,13.20,2.21,0.48,1.88,1.48,5.28,8.32,0.25,0.40,1.10,1.25,1.19,1.18,1.16,1.14,0.95,0.06,0.57,0.00,1.03,5.22,1.25,1.19,0.14,2.65,2.32,0.13,3.64
Tennessee,0.44,5.01,2.35,1.39,4.27,1.20,0.52,0.15,9.83,8.72,0.49,0.60,0.23,3.89,2.92,0.87,7.00,1.60,0.68,1.17,0.21,3.52,0.67,2.12,6.55,0.18,4.86,0.13,0.32,0.24,1.05,0.43,0.63,2.43,3.63,0.97,0.41,1.86,0.15,2.30,0.13,0.00,5.63,0.49,4.62,0.11,1.19,1.10,0.63,0.17
Texas,0.80,1.80,2.71,3.68,11.23,3.67,0.61,0.22,6.89,4.26,1.04,0.94,0.53,4.05,1.65,2.19,1.25,5.44,1.03,1.54,0.21,2.48,1.29,2.51,1.55,0.29,3.26,0.26,0.83,0.23,1.55,3.01,1.56,3.16,2.38,4.45,0.87,1.77,0.18,1.25,0.28,2.12,0.00,1.19,3.33,0.08,2.52,1.21,0.26,0.40
Utah,0.85,0.65,0.52,9.15,16.69,5.27,0.46,0.12,2.93,1.54,1.22,0.52,8.68,1.64,0.89,0.85,0.62,0.46,0.84,0.88,0.21,1.29,0.91,1.32,0.37,1.32,1.46,0.32,0.72,0.26,0.94,1.71,7.65,1.67,1.36,0.82,2.95,1.29,0.11,0.59,0.39,0.91,5.56,0.00,1.89,0.18,5.00,0.86,0.14,3.01
Virginia,0.48,1.45,0.45,1.53,6.97,1.70,1.20,0.58,8.58,4.54,1.39,0.36,0.26,2.43,1.05,0.81,1.09,0.91,1.67,10.45,0.45,1.88,0.63,1.07,0.78,0.17,9.94,0.14,0.32,0.44,3.24,0.47,0.72,5.85,2.64,0.71,0.47,4.46,0.56,2.67,0.15,2.83,5.99,0.68,0.00,0.19,1.78,0.69,2.09,0.12
Vermont,0.64,0.55,0.16,1.80,3.85,2.31,4.91,0.13,5.94,1.67,0.52,0.38,0.39,1.26,0.82,0.39,0.55,0.43,11.32,1.48,3.48,1.02,0.70,0.63,0.21,0.38,3.05,0.03,0.19,14.60,3.45,0.37,0.57,15.36,1.36,0.34,1.25,3.29,0.83,1.02,0.05,1.07,2.10,0.62,2.34,0.00,1.33,0.62,0.24,0.05
Washington,2.10,0.73,0.54,4.91,18.73,2.70,0.66,0.11,3.97,2.29,2.26,0.59,4.72,2.20,0.95,1.05,0.70,0.66,0.99,1.03,0.28,1.61,1.24,1.34,0.38,1.72,2.08,0.33,0.48,0.24,0.82,0.79,2.72,2.37,1.50,1.05,12.07,1.32,0.19,1.05,0.35,1.13,6.58,2.37,2.36,0.13,0.00,1.05,0.16,0.46
Wisconsin,0.40,0.65,0.74,3.00,5.57,2.43,0.67,0.28,5.04,2.13,0.38,3.36,0.43,20.24,2.67,0.93,0.86,0.58,0.79,0.77,0.21,5.53,13.62,1.79,0.78,0.36,2.01,0.48,0.69,0.16,0.84,0.53,1.00,2.13,2.35,0.74,0.77,1.72,0.11,0.77,0.63,1.63,4.63,0.73,1.61,0.10,1.73,0.00,0.18,0.28
WestVirginia,0.39,0.77,0.48,0.96,2.11,1.05,0.54,0.42,6.98,2.60,0.31,0.27,0.20,1.19,1.51,0.50,4.11,0.71,0.38,10.73,0.22,1.53,0.23,0.84,0.53,0.20,6.39,0.19,0.17,0.24,1.54,0.40,0.42,2.17,15.11,0.68,0.28,8.14,0.10,2.48,0.15,2.56,3.12,0.48,14.29,0.09,0.68,0.38,0.00,0.20
Wyoming,0.98,0.80,0.65,4.22,6.17,13.95,0.26,0.09,3.89,1.16,0.39,0.95,5.15,1.56,0.97,1.35,0.53,0.90,0.42,0.50,0.18,2.72,1.61,1.63,0.46,5.93,1.17,1.29,3.85,0.25,0.49,1.43,2.49,1.01,1.16,1.43,2.52,1.16,0.00,0.66,3.19,0.81,5.78,8.04,1.22,0.24,3.11,1.11,0.20,0.00
